order_id;product_id;quantity
80GPC;B0C5LTPT2Q;8
80GPC;B0CKLKWV6T;8
80GPC;B09WMN46JS;5
YSC9L;B0992XK6M8;9
YSC9L;B09QMN67V2;2
YSC9L;B0CB9H1511;1
YSC9L;B0C4BJSQGB;8
YSC9L;B0013ISRFI;4
F95CU;B07FFVTPCP;2
F95CU;B00DHMICOE;5
F95CU;B0CG9XTK69;7
F95CU;B0CDRT77WH;1
NHBUJ;B07S1V1YSL;8
NHBUJ;B09ZV84XDM;1
9Q9DH;B08SW52KBD;5
9Q9DH;B0BHSQ4F2Q;4
9Q9DH;B0BMVZGWG8;3
OSN1F;B09N7MKXQP;6
OSN1F;B09CDNK1LX;9
4AE59;B06X6KPM7Z;3
4AE59;B0CGDS7KF7;7
4AE59;B0087P1SGU;4
4AE59;B0BY5DVL1M;7
4AE59;B002JIN2PQ;6
OR26B;B0BXJV55Q5;7
OR26B;B07WSTC734;2
OR26B;B0CKQZTBWJ;2
OR26B;B0053GB2B2;4
OR26B;B08ZN4J1RW;5
L22TB;B077MD5ZWJ;3
L22TB;B08X7GYC6Q;2
L22TB;B09XF2JZQL;8
L22TB;B001GCYGT2;8
L22TB;B0CGX6XR41;1
3RDR4;B09QLXC9J8;8
3RDR4;B081JZNZ2M;9
3RDR4;B0BM8YML3V;6
3RDR4;B096NGGHDR;1
3RDR4;B07HCKCNZ8;8
O2NFA;B0CF63WWYC;5
O2NFA;B00N9HRTFU;8
ESVF6;B0CJJGJW3K;7
ESVF6;B0C5ZJ28ST;2
ESVF6;B0B92XNGT6;7
ESVF6;B0CF5Y2W4D;8
ESVF6;B0BLWBMFPP;9
5OPEH;B0CCTXQ222;3
5OPEH;B09TLGPH6W;9
5OPEH;B0CB9WGQ4D;6
QQATN;B0CD6VL4B4;2
QQATN;B09PMSWV9W;8
QQATN;B0CJBDYW2H;6
QQATN;B0B3Y2X251;2
YMWPU;B00JGX9Q8E;6
YMWPU;B09L1RP4NZ;4
XKEA7;B082FHP2Z5;2
XKEA7;B07RGN5RZW;2
XKEA7;B000L9BYWI;2
XKEA7;B08MKT9H1F;5
X0D4R;B009YNGH60;9
X0D4R;B00JFSUCWO;3
X0D4R;B0CD2F51HB;3
IS0PQ;B0CJFC6QS6;2
IS0PQ;B0CJLPHCSD;2
IS0PQ;B0BXSRKR3R;9
IS0PQ;B0C6QR6SXY;9
249YQ;B0BSV9K9PT;5
249YQ;B09DCBBTVB;7
249YQ;B0B6FMLDRB;4
249YQ;B0B9GZ6YJ7;1
W84R3;B0B7XM56Q1;3
W84R3;B073P267H5;6
W84R3;B0CGWR5VT6;2
W84R3;B0CF8XH9Q2;2
5E7JD;B09QS699Z8;6
5E7JD;B01LX0MK0O;3
7H2M3;B09LYP6TZ9;4
7H2M3;B08GZ94HVT;8
7H2M3;B07PY2WRBX;4
LVYZP;B0C6JHDMYC;1
LVYZP;B07L3GKZGV;1
LVYZP;B0BMG1XY33;5
JDTSK;B0BF9B2VDK;5
JDTSK;B088YW6Q55;4
HH7WH;B072MPYS7L;9
HH7WH;B0CGCCRJQM;3
