product_id;product_name;selling_price;category_id;cost_price;stock
B00XLHSZ74;AQUALONAÂ® Premium Thermoplastic Toilet Seat - Soft Close Hard-Wearing Seat with One Button Hinge Release, O-Shaped - Comfortable, Easy to Clean and Install with Universal Fittings, White;26.99;E387;12.28;46
B07Z1YTD9R;LEONE LEGGINS DONNA EXTREMA 3;25.49;E387;11.41;28
B0BHJ1MNY4;Skang Gilet for Women UK Longline Quilted Plain Hooded Zipper Jacket Fashion Sleeveless Down Jacket Ladies Oversized Outdoor Windproof Warm Vest Jacket Gilet Bodywarmer Vest Coat;37.59;E387;17.53;65
B0C4LBK1T7;DIYIOUZHOU Ladies Tops And Blouses Shorts Sleeve 2023, Pop Oversized Short Sleeve T Shirt Women Soft Fit Shirt Women;7.49;E387;3.12;45
B0CGX6XR41;Vogrtcc Women's Loose Sweaters O-Neck Tops Long Sleeved Knit Stripe Pullovers Khaki;49.43;E387;23.3;89
B01BL8720K;Mustela PN EAU RAFRAICHISSANTE ET COIFFANTE 200 ML/PN VERFRISSEND WATER 200 ML;9.77;TG47;4.3;76
B07PDJ9JFF;Echo Flex â Voice control smart home devices with Alexa;9.99;E387;4.65;83
B016KN36QA;Craghoppers Mens Fleece Selby Half Zip;15.99;E387;5.71;44
B003U77IG4;FINLANDIA Lime Fusion Finnish Vodka 70cl Bottle;16.56;ZP25;7.38;69
B08H81BRKX;Deconovo 2 Pack Burgundy Velvet Cushion Covers 18x18 Inches with Poms Square Throw Pillowcases for Christmas Chairs Bed with Invisible Zipper 45cm x 45cm;4.49;O4BF;1.56;93
B097C3B6S8;Sink Tap Rotatable Water Bubbler 360 Degree Rotating Water Swivel Faucet Kitchen Tap Aerator for Bathroom Kitchen Tap Nozzle Filter Adapter by Koksi;5.99;E387;2.93;16
B0B27XM5PK;XINXUAN 5/10-PCS Trampoline, Durable Trampoline Accessories Mute Base Pipe Cover, Non-slip Mini Trampoline Part Base Pipe Legs Fittings;3.79;E387;1.6;33
B0BXH36SB2;Ring Light Kit,Led Ring Light Kit with Tripod Stand Dimmable for Makeup 3 Modes 10 Brightness Live Stream Makeup Video Broadcast (B);117.54;7EE3;48.7;30
B072NZSW1C;"Carlyle Hand Tools Pliers - Wire Stripping/Crimping/Cutting - 6 3/4"" L";24.28;E387;11.17;19
B078PLLM9F;Haliborange Kids Vitamins Omega-3 and Multivitamin Orange Softies, Pack of 60;7.0;E387;2.88;27
